"","genes","logFC","logCPM","F","PValue","FDR"
"IL2RA","IL2RA",4.64197861591001,-0.0829090451425252,1.64660994729472,0.199423613601033,0.94226151814353
"ISL2","ISL2",4.64197861591001,-0.0829090451425252,1.64660994729472,0.199423613601033,0.94226151814353
"LOC101113211","LOC101113211",4.64197861591001,-0.0829090451425252,1.64660994729472,0.199423613601033,0.94226151814353
"LOC105602855","LOC105602855",4.64197861591001,-0.0829090451425252,1.64660994729472,0.199423613601033,0.94226151814353
"LOC105603522","LOC105603522",4.64197861591001,-0.0829090451425252,1.64660994729472,0.199423613601033,0.94226151814353
"LOC105604106","LOC105604106",4.64197861591001,-0.0829090451425252,1.64660994729472,0.199423613601033,0.94226151814353
"LOC105615734","LOC105615734",4.64197861591001,-0.0829090451425252,1.64660994729472,0.199423613601033,0.94226151814353
"LOC105616213","LOC105616213",4.64197861591001,-0.0829090451425252,1.64660994729472,0.199423613601033,0.94226151814353
"ZNF703","ZNF703",4.64197861591001,-0.0829090451425252,1.64660994729472,0.199423613601033,0.94226151814353
"WDR62","WDR62",-4.45830402793994,0.0588176246602113,1.64622499076654,0.199476159065213,0.94226151814353
"ACTA1","ACTA1",-0.388737996329674,12.9686519826526,1.64615676461164,0.199485473436133,0.94226151814353
"PPP2R1B","PPP2R1B",-0.999308981252706,5.17378384996033,1.64580296808303,0.199533782637522,0.94226151814353
"PPP1R18","PPP1R18",4.46373635546923,1.09282058327823,1.64525324963223,0.199608871290111,0.942298944885686
"SLC25A35","SLC25A35",-4.40430215597504,0.270475998360839,1.64284420450336,0.199938325884086,0.943228077058013
"RCC2","RCC2",4.53302230432165,0.11512711792068,1.64241024487155,0.199997740923221,0.943228077058013
"EPHX2","EPHX2",2.38517166138803,3.22078651695167,1.64233986292677,0.200007379133827,0.943228077058013
"PTTG1","PTTG1",4.41511604866151,0.337981501901942,1.64081817534179,0.200215894857841,0.943547120959745
"LOC105605939","LOC105605939",-3.88031107609108,1.07280705101778,1.63877338177097,0.200496493813375,0.943547120959745
"LOC105610367","LOC105610367",-4.45862674838376,0.0264706034833,1.63848064715232,0.20053670243834,0.943547120959745
"LOC101123651","LOC101123651",4.41516840215049,0.327654172136538,1.63818212552105,0.20057771570076,0.943547120959745
"JOSD1","JOSD1",-1.75456899638142,3.92954484135446,1.63783432176327,0.200625512167272,0.943547120959745
"LOC105615437","LOC105615437",4.74646273063726,0.527369155701278,1.63783374633984,0.200625591255159,0.943547120959745
"RYK","RYK",-0.837956020073569,5.62079717707468,1.63743444261506,0.200680481570681,0.943547120959745
"WNT4","WNT4",-4.45587051865668,1.09444675483795,1.63683680904047,0.200762668301032,0.943547120959745
"SCRN2","SCRN2",-4.13893468842344,0.630328958675364,1.63648537856967,0.200811015589199,0.943547120959745
"LOC105615993","LOC105615993",-3.64055959952607,2.0517947767207,1.6362260595924,0.200846699614206,0.943547120959745
"LOC101110789","LOC101110789",-4.35950845022786,1.2063379305507,1.63589572220966,0.200892167044288,0.943547120959745
"LOC101102078","LOC101102078",1.59269383932562,4.13614588831579,1.63428356161011,0.201114237546905,0.943547120959745
"LAMB1","LAMB1",-0.57943323532198,6.99524992145081,1.63413707498778,0.201134429961278,0.943547120959745
"PDE11A","PDE11A",-3.88030542571791,1.05900754108541,1.63404950091367,0.201146502727821,0.943547120959745
"XPNPEP1","XPNPEP1",-1.25516404916889,4.6587501055222,1.63393763292878,0.20116192583829,0.943547120959745
"PLD3","PLD3",3.64637057904101,1.57903120706852,1.6335643953554,0.201213393734769,0.943547120959745
"PRMT2","PRMT2",-4.25346092984929,0.405930462301204,1.63301775734595,0.201288800776657,0.943547120959745
"POLD2","POLD2",-4.31421012201486,0.397273385956496,1.63299864193176,0.201291438290961,0.943547120959745
